i,p_i,H_i,h_i
0-4,3.91,0.0016,0.000016
5-9,4.14,0.0016,0.000016
10-14,3.86,0.007,0.00007
15-19,3.67,0.007,0.00007
20-24,4.18,0.031,0.00031
25-29,4.53,0.031,0.00031
30-34,4.46,0.084,0.00084
35-39,4.37,0.084,0.00084
40-44,3.99,0.16,0.0016
45-49,4.51,0.16,0.0016
50-54,4.67,0.6,0.006
55-59,4.29,0.6,0.006
60-64,3.67,1.93,0.0193
65-69,3.4,1.93,0.0193
70-74,3.25,4.28,0.0428
75-79,2.24,4.28,0.0428
80-84,1.67,7.8,0.078
85-89,1.02,7.8,0.078
90+,0.58,7.8,0.078
